order_id,item_id,product_id,quantity,list_price,discount,order_status,order_date,required_date,shipped_date,customer_id,customer_first_name,customer_last_name,customer_city,customer_state,product_name,model_year,product_price,category_name,brand_name,store_name,store_city,store_state,staff_first_name,staff_last_name,staff_active,stock_quantity
1,1,20,1,599.99,0.2,4,2016-01-01,2016-01-03,2016-01-03,259,Johnathan,Velazquez,Pleasanton,CA,Electra Townie Original 7D EQ - Women's - 2016,2016,599.99,Cruisers Bicycles,Electra,Santa Cruz Bikes,Santa Cruz,CA,Mireya,Copeland,True,26.0
1,2,8,2,1799.99,0.07,4,2016-01-01,2016-01-03,2016-01-03,259,Johnathan,Velazquez,Pleasanton,CA,Trek Remedy 29 Carbon Frameset - 2016,2016,1799.99,Mountain Bikes,Trek,Santa Cruz Bikes,Santa Cruz,CA,Mireya,Copeland,True,0.0
1,3,10,2,1549.0,0.05,4,2016-01-01,2016-01-03,2016-01-03,259,Johnathan,Velazquez,Pleasanton,CA,Surly Straggler - 2016,2016,1549.0,Cyclocross Bicycles,Surly,Santa Cruz Bikes,Santa Cruz,CA,Mireya,Copeland,True,15.0
1,4,16,2,599.99,0.05,4,2016-01-01,2016-01-03,2016-01-03,259,Johnathan,Velazquez,Pleasanton,CA,Electra Townie Original 7D EQ - 2016,2016,599.99,Cruisers Bicycles,Electra,Santa Cruz Bikes,Santa Cruz,CA,Mireya,Copeland,True,4.0
1,5,4,1,2899.99,0.2,4,2016-01-01,2016-01-03,2016-01-03,259,Johnathan,Velazquez,Pleasanton,CA,Trek Fuel EX 8 29 - 2016,2016,2899.99,Mountain Bikes,Trek,Santa Cruz Bikes,Santa Cruz,CA,Mireya,Copeland,True,23.0
2,1,20,1,599.99,0.07,4,2016-01-01,2016-01-04,2016-01-03,1212,Jaqueline,Cummings,Huntington Station,NY,Electra Townie Original 7D EQ - Women's - 2016,2016,599.99,Cruisers Bicycles,Electra,Baldwin Bikes,Baldwin,NY,Marcelene,Boyer,True,20.0
2,2,16,2,599.99,0.05,4,2016-01-01,2016-01-04,2016-01-03,1212,Jaqueline,Cummings,Huntington Station,NY,Electra Townie Original 7D EQ - 2016,2016,599.99,Cruisers Bicycles,Electra,Baldwin Bikes,Baldwin,NY,Marcelene,Boyer,True,20.0
3,1,3,1,999.99,0.05,4,2016-01-02,2016-01-05,2016-01-03,523,Joshua,Robertson,Patchogue,NY,Surly Wednesday Frameset - 2016,2016,999.99,Mountain Bikes,Surly,Baldwin Bikes,Baldwin,NY,Venita,Daniel,True,28.0
3,2,20,1,599.99,0.05,4,2016-01-02,2016-01-05,2016-01-03,523,Joshua,Robertson,Patchogue,NY,Electra Townie Original 7D EQ - Women's - 2016,2016,599.99,Cruisers Bicycles,Electra,Baldwin Bikes,Baldwin,NY,Venita,Daniel,True,20.0
4,1,2,2,749.99,0.1,4,2016-01-03,2016-01-04,2016-01-05,175,Nova,Hess,Duarte,CA,Ritchey Timberwolf Frameset - 2016,2016,749.99,Mountain Bikes,Ritchey,Santa Cruz Bikes,Santa Cruz,CA,Genna,Serrano,True,5.0
5,1,10,2,1549.0,0.05,4,2016-01-03,2016-01-06,2016-01-06,1324,Arla,Ellis,Utica,NY,Surly Straggler - 2016,2016,1549.0,Cyclocross Bicycles,Surly,Baldwin Bikes,Baldwin,NY,Marcelene,Boyer,True,13.0
